Body_type,Kilometer_Driven,Transmission,Owner_No.,Original_equipment_manufacturer,Model,Model_year,Variant_name,Price,Insurance_validity,Fuel_type,Seats,Engine_displacement,Year_of_manufacture,Mileage,Max_power,Torque,Colour,Location,Features,Interior,Exterior
Sedan,30000,Manual,1,Toyota,Toyota Yaris,2018,G BSIV,0.5159578453604303,Third Party insurance,Petrol,5,1496,2018,17.1,105.5,140,Others,Bangalore,9,3,23
Hatchback,64374,Automatic,1,Honda,Honda Jazz,2018,1.2 V AT i VTEC,0.5159590462489971,,Petrol,5,1199,2018,19.0,88.7,110,Grey,Bangalore,9,3,26
SUV,30000,Manual,1,MG,MG Hector,2021,Sharp Diesel MT BSIV,0.5161980230737999,Third Party insurance,Diesel,5,1956,2021,17.41,167.68,350,Others,Bangalore,9,1,21
SUV,7100,Automatic,1,Hyundai,Hyundai Alcazar,2022,Signature (O) AT,0.5162780020121743,Comprehensive,Petrol,6,1999,2022,14.2,156.9,0,White,Bangalore,9,2,21
Hatchback,43679,Manual,1,Hyundai,Hyundai i10,2010,Era 1.1 iTech SE,0.5158428002357262,Comprehensive,Petrol,5,1086,2010,19.81,68.05,99,Silver,Bangalore,9,2,25
SUV,40000,Automatic,1,Hyundai,Hyundai Creta,2018,1.6 SX Automatic,0.5160851395485162,Third Party insurance,Petrol,5,1591,2018,14.8,121.3,0,Others,Bangalore,9,3,25
Hatchback,40562,Manual,1,Hyundai,Hyundai i20,2012,Era 1.4 CRDi,0.5158824295584322,Third Party,Diesel,5,1396,2012,22.54,88.76,219,Red,Bangalore,9,2,25
SUV,26500,Automatic,2,Hyundai,Hyundai Creta,2021,SX Opt Turbo DCT,0.5161800097452972,Comprehensive,Petrol,5,1397,2021,0.0,138.12,242,White,Bangalore,9,2,21
SUV,20000,Automatic,1,Hyundai,Hyundai Venue,2019,SX Plus Turbo DCT BSIV,0.5160779342171151,Third Party insurance,Petrol,5,998,2019,18.15,118.35,171,Others,Bangalore,9,2,22
SUV,58600,Automatic,1,Mahindra,Mahindra XUV500,2016,AT W8 FWD,0.5161019519884521,Third Party insurance,Diesel,7,2179,2016,16.0,140.0,330,Silver,Bangalore,9,3,27
SUV,20000,Automatic,1,Hyundai,Hyundai Venue,2019,SX Plus Turbo DCT BSIV,0.5160779342171151,Third Party insurance,Petrol,5,998,2019,18.15,118.35,171,Others,Bangalore,9,2,22
SUV,42050,Automatic,1,Volkswagen,Volkswagen T-Roc,2020,TSI,0.5163121074876506,Comprehensive,Petrol,5,1498,2020,18.4,147.94,0,White,Bangalore,9,3,26
Hatchback,65017,Automatic,1,Maruti,Maruti Celerio,2015,VXI AT,0.5158917964892537,2,Petrol,5,998,2015,23.1,67.04,90,White,Bangalore,8,3,29
Sedan,80000,Automatic,2,BMW,BMW 3 Series,2008,320d,0.5159218187034248,Third Party insurance,Diesel,5,1995,2008,13.2,170.0,34,Others,Bangalore,9,2,28
SUV,30000,Automatic,1,Jeep,Jeep Compass,2021,Model S DCT BSVI,0.5163661474731587,Third Party insurance,Petrol,5,1368,2021,14.1,160.77,250,Others,Bangalore,9,2,19
SUV,20000,Automatic,1,Kia,Kia Seltos,2020,GTX Plus DCT,0.5161680008596288,Third Party insurance,Petrol,5,1353,2020,16.5,138.08,0,Others,Bangalore,9,2,22
Sedan,36349,Automatic,1,Skoda,Skoda Superb,2014,Elegance 2.0 TDI CR AT,0.5161740053024629,,Diesel,5,1968,2014,17.2,138.1,320,White,Bangalore,9,3,25
Hatchback,80000,Manual,3,Hyundai,Hyundai i10,2009,Sportz 1.2,0.515837516326032,Third Party insurance,Petrol,5,1197,2009,20.36,78.9,111,Others,Bangalore,9,2,27
SUV,83394,Manual,2,Renault,Renault Duster,2014,Petrol RxE,0.5159290240348259,,Petrol,5,1598,2014,13.24,102.57,145,Red,Bangalore,8,3,27
SUV,30000,Automatic,2,Audi,Audi Q5,2016,30 TDI Sport Edition,0.5164019339524508,Third Party insurance,Diesel,5,1968,2016,14.16,174.3,380,Others,Bangalore,9,3,29
Hatchback,80000,Manual,3,Hyundai,Hyundai i10,2009,Sportz 1.2,0.515837516326032,Third Party insurance,Petrol,5,1197,2009,20.36,78.9,111,Others,Bangalore,9,2,27
Hatchback,52204,Manual,1,Maruti,Maruti Alto K10,2017,VXI,0.5158701804950503,Third Party,Petrol,5,998,2017,24.39,65.71,89,Silver,Bangalore,9,3,17
Hatchback,110000,Manual,3,Hyundai,Hyundai i20,2012,1.2 Sportz,0.515849765389414,Third Party insurance,Petrol,5,1197,2012,17.0,0.0,0,Red,Bangalore,9,3,28
